大场景,子场景,选项,用户问题/症状,用户1级需求,用户2级需求,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,index
,完美主义,,过劳,承认并接受自己过劳，提醒自己自我关怀,鼓励自己寻找工作与生活的平衡,,,,,,,,,,,,过劳承认并接受自己过劳，提醒自己自我关怀鼓励自己寻找工作与生活的平衡
,完美主义,,对旁人和环境苛刻,接纳自己对于任务的重视，提醒自己有时需要包容他人和环境,提醒自己包容，减少对他人和环境的过度要求,,,,,,,,,,,,对旁人和环境苛刻接纳自己对于任务的重视，提醒自己有时需要包容他人和环境提醒自己包容，减少对他人和环境的过度要求
,完美主义,,情绪：焦虑（犯错失败）,承认并接受自己对于犯错的担忧，提醒自己犯错也没关系,鼓励自己接受错误，减少对失败的恐惧,,,,,,,,,,,,情绪：焦虑（犯错失败）承认并接受自己对于犯错的担忧，提醒自己犯错也没关系鼓励自己接受错误，减少对失败的恐惧
,完美主义,,情绪：焦虑（达不到他人期待）,承认并接受自己对于达不到他人期待的担忧,鼓励自己减少对外界期待的过度关注,,,,,,,,,,,,情绪：焦虑（达不到他人期待）承认并接受自己对于达不到他人期待的担忧鼓励自己减少对外界期待的过度关注
,内耗（个体内部矛盾、冲突或斗争）,,拖延决策,承认并接受自己对于决策的慎重,鼓励自己从小事做起，逐步提高决策能力和效率,,,,,,,,,,,,拖延决策承认并接受自己对于决策的慎重鼓励自己从小事做起，逐步提高决策能力和效率
,内向,,适应困难,承认并接受自己的适应困难,鼓励自己逐步适应新环境,,,,,,,,,,,,适应困难承认并接受自己的适应困难鼓励自己逐步适应新环境
,身份认同困惑,,不合理信念（觉得自己不正常）,提醒自己存在无须他人许可,鼓励自己重新评估自我认同，减少自我怀疑,,,,,,,,,,,,不合理信念（觉得自己不正常）提醒自己存在无须他人许可鼓励自己重新评估自我认同，减少自我怀疑
,压力与焦虑,,注意力涣散,承认并接受自己状态不佳,鼓励自己寻找提高注意力的方法,,,,,,,,,,,,注意力涣散承认并接受自己状态不佳鼓励自己寻找提高注意力的方法
,压力与焦虑,,记忆力减退,承认并接纳自己状态不佳,鼓励自己寻找提高记忆力的方法,,,,,,,,,,,,记忆力减退承认并接纳自己状态不佳鼓励自己寻找提高记忆力的方法
,压力与焦虑,,回避交流,接纳自己的自我保护，提醒自己与人交流是安全而有益的,鼓励自己尝试表达，改善沟通,,,,,,,,,,,,回避交流接纳自己的自我保护，提醒自己与人交流是安全而有益的鼓励自己尝试表达，改善沟通
,压力与焦虑,,睡眠障碍,承认并接受自己的睡眠障碍,鼓励自己寻找改善睡眠的方法,,,,,,,,,,,,睡眠障碍承认并接受自己的睡眠障碍鼓励自己寻找改善睡眠的方法
,压力与焦虑,,过劳,承认并接受自己的过劳,鼓励自己寻找工作与生活的平衡,,,,,,,,,,,,过劳承认并接受自己的过劳鼓励自己寻找工作与生活的平衡
,压力与焦虑,,情绪：无助感,承认并接受自己的无助感，提醒自己可以获得支持,鼓励自己寻求支持，增强自信,,,,,,,,,,,,情绪：无助感承认并接受自己的无助感，提醒自己可以获得支持鼓励自己寻求支持，增强自信
,愤怒与怨恨,,记忆闪回,承认并接受自己的记忆闪回,鼓励自己寻找处理记忆闪回的方法,,,,,,,,,,,,记忆闪回承认并接受自己的记忆闪回鼓励自己寻找处理记忆闪回的方法
,愤怒与怨恨,,攻击性行为,承认自己有时失去控制，提醒自己有能力自控,鼓励自己寻找替代行为，减少攻击性,,,,,,,,,,,,攻击性行为承认自己有时失去控制，提醒自己有能力自控鼓励自己寻找替代行为，减少攻击性
,愤怒与怨恨,,冲突转移,承认自己有时转移冲突，提醒自己冷静，不伤害他人,鼓励自己寻找解决冲突的方法,,,,,,,,,,,,冲突转移承认自己有时转移冲突，提醒自己冷静，不伤害他人鼓励自己寻找解决冲突的方法
,愤怒与怨恨,,情绪：愤怒与怨恨,承认并接受自己对自己存在不满，提醒自己接纳自己,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨承认并接受自己对自己存在不满，提醒自己接纳自己鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,愤怒与怨恨,,情绪：后悔与懊恼（不甘心）,承认并接受自己对生活存在疑问,鼓励自己反思、分析和改进,,,,,,,,,,,,情绪：后悔与懊恼（不甘心）承认并接受自己对生活存在疑问鼓励自己反思、分析和改进
,愤怒与怨恨,,情绪：焦虑（生活不受控）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己提高对生活的掌控,,,,,,,,,,,,情绪：焦虑（生活不受控）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己提高对生活的掌控
,抑郁,糟糕,注意力涣散,承认并接纳自己状态不佳,鼓励自己寻找提高注意力的方法,,,,,,,,,,,,注意力涣散承认并接纳自己状态不佳鼓励自己寻找提高注意力的方法
,抑郁,,记忆力减退,承认并接受自己的记忆力减退,鼓励自己寻找提高记忆力的方法,,,,,,,,,,,,记忆力减退承认并接受自己的记忆力减退鼓励自己寻找提高记忆力的方法
,抑郁,,否认或解离,接纳自己的不适感,鼓励自己聚焦当下，平和心境,,,,,,,,,,,,否认或解离接纳自己的不适感鼓励自己聚焦当下，平和心境
,抑郁,,情感麻木,承认并接受自己的情感麻木,鼓励自己关注、倾听并表达自己的内心情感,,,,,,,,,,,,情感麻木承认并接受自己的情感麻木鼓励自己关注、倾听并表达自己的内心情感
,抑郁,,生活功能下降,承认并接受自己的生活功能下降,肯定自己的每一个生活举动,,,,,,,,,,,,生活功能下降承认并接受自己的生活功能下降肯定自己的每一个生活举动
,抑郁,,欲望降低,承认并接受自己的欲望降低,肯定自己的每一次快乐,,,,,,,,,,,,欲望降低承认并接受自己的欲望降低肯定自己的每一次快乐
,抑郁,,悲观,承认并接受自己的悲观情绪,鼓励自己冷静理性，重拾生活的信心,,,,,,,,,,,,悲观承认并接受自己的悲观情绪鼓励自己冷静理性，重拾生活的信心
,抑郁,,认知失调,承认并接受自己的认知失调,鼓励自己寻找处理认知失调的方法,,,,,,,,,,,,认知失调承认并接受自己的认知失调鼓励自己寻找处理认知失调的方法
,抑郁,,不合理信念（觉得自己是失败者）,提醒自己也有做得好的地方,肯定自己做得好的地方,,,,,,,,,,,,不合理信念（觉得自己是失败者）提醒自己也有做得好的地方肯定自己做得好的地方
,抑郁,,不合理信念（宿命论）,提醒自己未来是不可知的,鼓励自己重新评估信念，减少宿命论,,,,,,,,,,,,不合理信念（宿命论）提醒自己未来是不可知的鼓励自己重新评估信念，减少宿命论
,抑郁,,药物依赖,提醒自己瘾是可以克服的,鼓励自己寻找替代方法，减少不健康的行为,,,,,,,,,,,,药物依赖提醒自己瘾是可以克服的鼓励自己寻找替代方法，减少不健康的行为
,抑郁,,消极行为（熬夜酗酒吸烟不健康饮食）,承认自己的不健康行为，提醒自己值得好好活着,鼓励自己寻找替代行为，减少不健康行为,,,,,,,,,,,,消极行为（熬夜酗酒吸烟不健康饮食）承认自己的不健康行为，提醒自己值得好好活着鼓励自己寻找替代行为，减少不健康行为
,抑郁,,自毁冲动,承认并接受自己的自毁冲动,鼓励自己寻找替代行为，减少自毁冲动,,,,,,,,,,,,自毁冲动承认并接受自己的自毁冲动鼓励自己寻找替代行为，减少自毁冲动
,抑郁,,情绪：悲伤,承认并接受自己的悲伤,鼓励自己寻找处理悲伤的方法,,,,,,,,,,,,情绪：悲伤承认并接受自己的悲伤鼓励自己寻找处理悲伤的方法
,抑郁,,情绪：空虚,承认并接受自己的空虚感,鼓励自己寻找填补空虚的方法,,,,,,,,,,,,情绪：空虚承认并接受自己的空虚感鼓励自己寻找填补空虚的方法
,抑郁,,情绪：无意义感,承认并接受自己的无意义感,鼓励自己寻找生活的意义,,,,,,,,,,,,情绪：无意义感承认并接受自己的无意义感鼓励自己寻找生活的意义
,家人关系不和,,情感压抑,承认内心对家人的情感,表达内心对家人的情感,,,,,,,,,,,,情感压抑承认内心对家人的情感表达内心对家人的情感
,家人关系不和,,沟通障碍,承认自己对于沟通的需求,提醒自己家人愿意倾听自己，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍承认自己对于沟通的需求提醒自己家人愿意倾听自己，鼓励自己尝试沟通
,家人关系不和,,攻击性行为,承认并接受自己的攻击性行为,鼓励自己寻找替代行为，减少攻击性,,,,,,,,,,,,攻击性行为承认并接受自己的攻击性行为鼓励自己寻找替代行为，减少攻击性
,家人关系不和,,认知混乱（无法诠释自己和家人的关系）,承认并接受自己的认知混乱,鼓励自己寻找处理认知混乱的方法,,,,,,,,,,,,认知混乱（无法诠释自己和家人的关系）承认并接受自己的认知混乱鼓励自己寻找处理认知混乱的方法
,家人关系不和,,角色混淆（如孩子过早承担成人责任）,承认并接受自己的角色混淆,鼓励自己重新评估角色，减少混淆,,,,,,,,,,,,角色混淆（如孩子过早承担成人责任）承认并接受自己的角色混淆鼓励自己重新评估角色，减少混淆
,家人关系不和,,不合理信念（认为自己是问题的原因）,提醒自己课题分离,鼓励自己理性判断问题的责任归属,,,,,,,,,,,,不合理信念（认为自己是问题的原因）提醒自己课题分离鼓励自己理性判断问题的责任归属
,家人关系不和,,过度依赖外界,肯定自己自强的意愿，提醒自己有能力独立,鼓励自己自强，增强独立性，减少对外界的依赖,,,,,,,,,,,,过度依赖外界肯定自己自强的意愿，提醒自己有能力独立鼓励自己自强，增强独立性，减少对外界的依赖
,家人关系不和,,代际传递,提醒自己可以不受父母的负面影响,鼓励自己不做父母的翻版，活出自己的人生,,,,,,,,,,,,代际传递提醒自己可以不受父母的负面影响鼓励自己不做父母的翻版，活出自己的人生
,家人关系不和,,情绪：孤立感,承认自己对于社交支持的需求，提醒自己有能力与人建立连接,鼓励自己寻求支持，建立新的社交连接,,,,,,,,,,,,情绪：孤立感承认自己对于社交支持的需求，提醒自己有能力与人建立连接鼓励自己寻求支持，建立新的社交连接
,家人关系不和,,情绪：愤怒与怨恨（自主性被侵犯）,承认并接受自己对家人存在不满，提醒自己自我保护，包容他人,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨（自主性被侵犯）承认并接受自己对家人存在不满，提醒自己自我保护，包容他人鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,友情障碍,,沟通障碍（不敢尝试表达）,承认自己对于沟通的需求,提醒自己朋友愿意倾听自己，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍（不敢尝试表达）承认自己对于沟通的需求提醒自己朋友愿意倾听自己，鼓励自己尝试沟通
,友情障碍,,信任问题,承认并接受自己的信任问题,鼓励自己建立信任，减少猜疑,,,,,,,,,,,,信任问题承认并接受自己的信任问题鼓励自己建立信任，减少猜疑
,友情障碍,,去人格化（对他人冷漠或消极的态度),提醒自己关怀他人,鼓励自己培养对他人的同理心,,,,,,,,,,,,去人格化（对他人冷漠或消极的态度)提醒自己关怀他人鼓励自己培养对他人的同理心
,职场人际,,情绪：愤怒与怨恨,承认并接受自己对职场人际存在不满，提醒自己自我保护，包容他人,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨承认并接受自己对职场人际存在不满，提醒自己自我保护，包容他人鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,同辈竞争,,消极比较,承认并接受自己的消极比较,鼓励自己减少与他人比较，增强自信,,,,,,,,,,,,消极比较承认并接受自己的消极比较鼓励自己减少与他人比较，增强自信
,同辈竞争,,情绪：焦虑（未来发展）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己制定未来规划，逐步实现目标,,,,,,,,,,,,情绪：焦虑（未来发展）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己制定未来规划，逐步实现目标
,社交焦虑社交恐惧,,虚拟世界依赖,提醒自己有能力脱离虚拟世界,鼓励自己减少对虚拟世界的依赖，增加现实社交,,,,,,,,,,,,虚拟世界依赖提醒自己有能力脱离虚拟世界鼓励自己减少对虚拟世界的依赖，增加现实社交
,社交焦虑社交恐惧,,沟通障碍（不敢尝试表达）,承认自己对于沟通的需求,提醒自己他人愿意倾听，鼓励自己尝试沟通,,,,,,,,,,,,沟通障碍（不敢尝试表达）承认自己对于沟通的需求提醒自己他人愿意倾听，鼓励自己尝试沟通
,社交焦虑社交恐惧,,对人失去信心（恐惧再次受伤）,承认并接受自己的恐惧,鼓励自己增强心理韧性，减少对受伤的恐惧,,,,,,,,,,,,对人失去信心（恐惧再次受伤）承认并接受自己的恐惧鼓励自己增强心理韧性，减少对受伤的恐惧
,被歧视,,不合理信念（觉得自己不正常）,提醒自己存在无须他人许可,自我肯定,,,,,,,,,,,,不合理信念（觉得自己不正常）提醒自己存在无须他人许可自我肯定
,被歧视,,情绪：愤怒与怨恨,承认并接受自己存在不满，提醒自己自我接纳,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨承认并接受自己存在不满，提醒自己自我接纳鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
自我关怀,不重视自己的感受,"处在一段艰难的亲密关系中,家庭,朋友,工作,自己",忽视自身需求,承认自己忽视了自身需求,鼓励自己重视自身需求,,,,,,,,,,,,忽视自身需求承认自己忽视了自身需求鼓励自己重视自身需求
,不重视自己的感受,,过度妥协（讨好）,承认并接受自己的讨好行为,鼓励自己设立界限，减少过度妥协,,,,,,,,,,,,过度妥协（讨好）承认并接受自己的讨好行为鼓励自己设立界限，减少过度妥协
,不重视自己的感受,,去人格化（对自己冷漠或消极的态度),提醒自己关怀他人,鼓励自己关怀自己,,,,,,,,,,,,去人格化（对自己冷漠或消极的态度)提醒自己关怀他人鼓励自己关怀自己
,不重视自己的感受,,不合理信念（觉得自己无关紧要）,提醒自己每个人都至关重要,自我肯定,,,,,,,,,,,,不合理信念（觉得自己无关紧要）提醒自己每个人都至关重要自我肯定
,不重视自己的感受,,风险感知迟钝,承认并接受自己的风险感知迟钝,鼓励自己提高风险感知能力,,,,,,,,,,,,风险感知迟钝承认并接受自己的风险感知迟钝鼓励自己提高风险感知能力
,不重视自己的感受,,拖延自我关怀,提醒自己随时随地自我关怀,鼓励自己制定计划，逐步进行自我关怀,,,,,,,,,,,,拖延自我关怀提醒自己随时随地自我关怀鼓励自己制定计划，逐步进行自我关怀
,不重视自己的感受,,回避交流（关于自己的话题）,接纳自己的自我保护，提醒自己与人交流是安全而有益的,鼓励自己尝试表达，改善沟通,,,,,,,,,,,,回避交流（关于自己的话题）接纳自己的自我保护，提醒自己与人交流是安全而有益的鼓励自己尝试表达，改善沟通
,不重视自己的健康,"健康,自己",否认疾病,提醒自己关怀自己的身体健康,鼓励自己正视健康问题，积极主动维护健康,,,,,,,,,,,,否认疾病提醒自己关怀自己的身体健康鼓励自己正视健康问题，积极主动维护健康
,不重视自己的健康,,拖延就诊拖延健身,提醒自己随时随地自我关怀,鼓励自己制定计划，逐步进行健康管理,,,,,,,,,,,,拖延就诊拖延健身提醒自己随时随地自我关怀鼓励自己制定计划，逐步进行健康管理
,不重视自己的健康,,去人格化（对自己冷漠或消极的态度),提醒自己有自我关怀的能力,鼓励自己关怀自己,,,,,,,,,,,,去人格化（对自己冷漠或消极的态度)提醒自己有自我关怀的能力鼓励自己关怀自己
,不重视自己的健康,,回避责任,接纳自己的自我保护，提醒自己与人交流是安全而有益的,鼓励自己尝试表达，改善沟通,,,,,,,,,,,,回避责任接纳自己的自我保护，提醒自己与人交流是安全而有益的鼓励自己尝试表达，改善沟通
,不重视自己的健康,,情绪：无力感,承认并接受自己的无力感,鼓励自己从小事中获得自信和力量,,,,,,,,,,,,情绪：无力感承认并接受自己的无力感鼓励自己从小事中获得自信和力量
,考试焦虑,,灾难化思维,接纳自己的担忧，提醒自己事情会有转机,鼓励自己减少过度担忧，增强自信,,,,,,,,,,,,灾难化思维接纳自己的担忧，提醒自己事情会有转机鼓励自己减少过度担忧，增强自信
,考试焦虑,,拖延学习,提醒自己学一点点就好,鼓励自己制定计划，逐步完成学习任务,,,,,,,,,,,,拖延学习提醒自己学一点点就好鼓励自己制定计划，逐步完成学习任务
,落榜,,情绪：嫉妒,承认并接受自己对于学业的重视，提醒自己人生很长机会还很多,鼓励自己增强自信，不与他人比较，肯定自己的,,,,,,,,,,,,情绪：嫉妒承认并接受自己对于学业的重视，提醒自己人生很长机会还很多鼓励自己增强自信，不与他人比较，肯定自己的
,落榜,,情绪：失望与沮丧,接纳自己的失落，提醒自己不要受情绪的控制,鼓励自己恢复对自己和生活的信心，只期望不失望,,,,,,,,,,,,情绪：失望与沮丧接纳自己的失落，提醒自己不要受情绪的控制鼓励自己恢复对自己和生活的信心，只期望不失望
,留学适应,学业,文化冲击,承认并接受自己的文化冲击,鼓励自己逐步适应新文化,,,,,,,,,,,,文化冲击承认并接受自己的文化冲击鼓励自己逐步适应新文化
,留学适应,,思乡,承认并接受自己的思乡,鼓励自己寻找处理思乡的方法,,,,,,,,,,,,思乡承认并接受自己的思乡鼓励自己寻找处理思乡的方法
,留学适应,,情绪：焦虑（考试）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己制定计划，逐步应对考试,,,,,,,,,,,,情绪：焦虑（考试）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己制定计划，逐步应对考试
,留学适应,,情绪：焦虑（经济压力）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己寻找资源，改善经济状况,,,,,,,,,,,,情绪：焦虑（经济压力）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己寻找资源，改善经济状况
,职业迷茫,,过度研究,承认并接受自己的过度研究,鼓励自己减少过度研究，增强行动力,,,,,,,,,,,,过度研究承认并接受自己的过度研究鼓励自己减少过度研究，增强行动力
,职业迷茫,,拖延求职,提醒自己微小的努力已经足够,鼓励自己制定计划，为事业打好基础,,,,,,,,,,,,拖延求职提醒自己微小的努力已经足够鼓励自己制定计划，为事业打好基础
,职业迷茫,,情绪：愤怒与怨恨（自主性被侵犯）,承认并接受自己对自己存在不满，提醒自己接纳自己,鼓励自己反思和分析自己的负面情绪，找到平和心境的方法,,,,,,,,,,,,情绪：愤怒与怨恨（自主性被侵犯）承认并接受自己对自己存在不满，提醒自己接纳自己鼓励自己反思和分析自己的负面情绪，找到平和心境的方法
,找不到工作,,过度准备,承认并接受自己的过度准备,鼓励自己减少过度准备，增强行动力,,,,,,,,,,,,过度准备承认并接受自己的过度准备鼓励自己减少过度准备，增强行动力
,找不到工作,,情绪：愤怒与怨恨,承认自己对自己存在不满，提醒自己冷静看待得失,鼓励自己反思和分析自己的负面情绪，平和心境,,,,,,,,,,,,情绪：愤怒与怨恨承认自己对自己存在不满，提醒自己冷静看待得失鼓励自己反思和分析自己的负面情绪，平和心境
,生活工作不平衡,,情绪：焦虑（疾病）,接纳自己的情绪，同时提醒自己不要被情绪控制,鼓励自己寻找处理焦虑的方法,,,,,,,,,,,,情绪：焦虑（疾病）接纳自己的情绪，同时提醒自己不要被情绪控制鼓励自己寻找处理焦虑的方法
