类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,句子示例,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,创造力,创意设计与表达,,激发灵感、提升创意能力、展现独特风格,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,创造力,创造性问题解决,,设计难题、激发创造力、找到解决方案、提升问题解决能力,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,缓解学习新技能时的紧张感，享受每次进步带来的满足感,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,克服自我怀疑，确信自己有能力学会并精通新技能,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,提升对新技能的兴趣和热情,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,找到有效的练习方式，将理论知识转化为实际操作能力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,技能拓展,,完成特定技能的学习目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,减轻担任领导者角色的压力,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,提升自信，相信自己的领导能力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,设定并达成领导力发展的目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,采取实际行动提高领导力,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,领导力培养,,实现具体领导力发展目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,缓解面对学业任务时的压力,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,减轻面对学业任务时的压力,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,增强自信心，相信能够应对学业挑战,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,制定并达成学业上的目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,通过行动改善学习习惯,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,学业压力,,完成特定学习任务以达成目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,缓解处理复杂任务时的压力,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,增强自信心，相信可以有效管理任务,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,设定并达成任务管理的目标,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,采取实际行动提高任务执行效率,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,完成重要任务以达成目标,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,任务管理,,减轻因时间安排不当带来的压力,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,提高自我效能感，相信能有效利用时间,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,设定并达成有效的时间管理目标,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,制定具体的时间管理计划,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,实现高效的时间管理目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,减轻长时间工作带来的疲惫感,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,时间管理,,接纳当前的职业状态并寻找新的兴趣点,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,增强自信心，找到重新激发工作热情的方法,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,设定具体的职业发展或调整计划,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,改变工作方式或寻找新的职业方向,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,实现职业活力恢复的目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,减轻缺乏动力时的焦虑感,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,职业倦怠,,接纳当前的动力状态，并寻找新的激励点,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,增强自信心，相信自己能够找到并维持动力,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,设定具体的目标以提升动力,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,制定具体的行动计划来提升动力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,达到设定的动力提升目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,减轻毕业后的迷茫和焦虑,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,工作学习,动力不足,,建立对自己未来方向的信心,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,开始探索职业兴趣领域,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,设定短期目标，如更新简历或参加职业培训,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,缓解学习新兴趣时的压力，保持动力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,克服自我怀疑，相信自己的学习能力,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,明确兴趣发展的阶段性目标,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,生活过渡,毕业适应,,启动兴趣学习的行动，减少拖延,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,完成兴趣学习的短期任务,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,减少因价值观模糊引发的焦虑,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,建立对自我价值观的坚定信念,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,将抽象价值观转化为具体生活准则,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,通过日常行为实践价值观,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,生活过渡,身份转变,,在行动中验证并巩固价值观,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,考试,,通过调整作息减少日常生活中的压力,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,应对挑战,考试,,接纳早起困难的状态，减少自我批判,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,应对挑战,考试,,通过调整作息减少日常生活中的压力,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,应对挑战,考试,,设定对一天安排的积极预期,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,考试,,设定健康的作息时间表,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,应对挑战,考试,,制定和遵循一个健康的作息时间表,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,面试,,完成设定的作息目标,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,应对挑战,面试,,减轻对饮食不当带来的健康担忧,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,应对挑战,面试,,接纳自己的饮食偏好和习惯,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,应对挑战,面试,,减轻对饮食不当带来的健康担忧,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,面试,,制定并遵循一个健康的饮食计划,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,应对挑战,面试,,设定健康的饮食目标,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,采取具体措施调整饮食结构,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,达到设定的饮食改进目标,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,通过定期锻炼释放工作和生活的压力，感觉更轻松和平静,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,接纳自己当前的身体状态,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,设定合理的运动目标,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,应对挑战,演讲,,通过持续的身体活动提高自我认同，对自己的外貌和健康状况感到满意,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,制定和遵循一个健康的运动计划,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,提高身体素质和健康水平,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,制定并遵循一个可行的训练计划，最终完成既定的健身挑战,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,缓解对慢性病管理的压力,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,接纳自己的慢性病状态,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,应对挑战,比赛,,减少对慢性病管理的压力,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,求职,,提高自我效能感，相信能有效管理慢性病,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,职业发展,求职,,设定慢性病管理的目标,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,职业发展,求职,,采取具体的慢性病管理措施,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,职业发展,求职,,达到设定的慢性病管理目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,求职,,减少因自我否定引发的情绪波动,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,职业发展,求职,,接纳自身的不完美，停止自我批判,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,设定自我接纳的阶段性目标,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,修正“必须完美”的负面思维,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,将自我接纳转化为具体行动计划,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,通过日常练习强化自我接纳,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,完成自我疗愈的阶段性里程碑,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,职业发展,职业规划,,缓解日常生活中的焦虑情绪,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,改变对自身应对能力的看法，更加相信自己能够处理生活中的挑战,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,采取具体的放松技巧或方法来管理压力,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,减轻分手后的痛苦情绪,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,停止自责，接受关系的结束,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,设定情感恢复的短期目标（如减少回忆频率）,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,职业发展,转型适应,,修正“我不值得被爱”的负面认知,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,失业,,制定重建生活的具体计划,情感安抚-缓解压力,1,,,,,,,,,,,,,
个人成长,职业发展,失业,,通过社交活动逐步恢复情感活力,情感安抚-接纳自我,1,,,,,,,,,,,,,
个人成长,职业发展,失业,,完成情感独立的关键行动（如删除联系方式）,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,职业发展,失业,,减轻被情感操控后的痛苦情绪,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,职业发展,失业,,接受自己曾经被操控的事实，减少自我责备,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,职业发展,失业,,设定恢复自尊心的目标,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,职业发展,失业,,改变对自己价值的认知，更加自信,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,自我探索,兴趣培养,,制定重建自我价值的具体计划,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,自我探索,兴趣培养,,采取实际行动恢复自信和自尊,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,自我探索,兴趣培养,,实现自我价值恢复的目标,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,自我探索,兴趣培养,,理解并接受自己对某人的暗恋情绪,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,自我探索,兴趣培养,,理解并接受自己对某人的暗恋情绪，不因此感到羞愧或不安,行为驱动-目标达成,2,,,,,,,,,,,,,
个人成长,自我探索,三观建立,,增强自信，认为自己值得被爱，并有勇气向心仪的对象表达自己的感受,情感安抚-目标平和化,2,,,,,,,,,,,,,
个人成长,自我探索,三观建立,,设定明确的情感表达目标,认知重构-增强自信,2,,,,,,,,,,,,,
个人成长,自我探索,三观建立,,寻找合适的机会与喜欢的人互动，增进彼此之间的了解和联系,认知重构-目标达成,2,,,,,,,,,,,,,
个人成长,自我探索,三观建立,,采取具体行动增进彼此之间的了解,行为驱动-提升行动力,2,,,,,,,,,,,,,
个人成长,自我探索,三观建立,,减少情感上的孤独感,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,接纳自己对情感的需求,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,设定满足情感需求的小目标,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,改变对自身价值的认知，认为自己值得被爱,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,制定寻找和维持健康关系的具体计划,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,采取实际行动来满足情感需求,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,完成建立和维护亲密关系的目标,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,身体健康,作息,,减轻与伴侣相处时的压力,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,接纳伴侣的不同之处,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,设定改善伴侣互动的具体目标,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,提高沟通技巧，增进感情,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,实现设定的伴侣互动改进目标,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,减轻家庭冲突带来的压力,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,接纳家庭成员的不同之处,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,身体健康,饮食,,设定改善家庭关系的具体目标,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,提高沟通技巧，增进家庭和谐,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,实现设定的家庭关系改进目标,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,缓解早晨的疲惫感和抗拒情绪,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,接纳早起困难的状态，减少自我批判,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,建立对一天安排的积极预期,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,通过简单动作启动起床流程（如伸展肢体）,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,身体健康,运动,,减少因信息过多而产生的焦虑,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,设定合理的信息获取目标,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,采取具体措施管理信息流,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,达到信息管理的目标,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,强化对内在品质（如善良、坚韧）的认同,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,提升对外在形象（如气质、穿搭）的接纳,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,认可自身能力与过往成就的价值,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,身体健康,慢性健康管理,,关注自我成长的积极变化,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,肯定自身独特性的不可替代性,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,提升内在自信心,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,设定增强内在自信的目标,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,改变对自己的负面看法，增强自信,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,设定具体的目标以增强内在自信,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,采取实际行动提高内在自信,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,心理健康,自我接纳,,实现设定的内在自信目标,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,减少因自我否定引发的情绪波动,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,接纳自身的不完美，停止自我批判,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,改变“必须完美”的负面思维,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,将自我接纳转化为具体行动计划,认知重构-增强自信,2,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,通过日常练习强化自我接纳,认知重构-目标达成,2,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,完成自我疗愈的阶段性里程碑,行为驱动-提升行动力,2,,,,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,,克服内心的恐惧和不安,行为驱动-目标达成,2,,,,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,,通过实际行动展示勇气,情感安抚-缓解压力,1,,,,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,,实现特定挑战的目标,情感安抚-接纳自我,1,,,,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,,坚持面对困难时的决心,情感安抚-目标平和化,2,,,,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,,通过实际行动持续努力,认知重构-增强自信,2,,,,,,,,,,,,,
