类别,场景,子场景,场景描述,用户需求,心理作用机制与功能,句子级别,句子范式,,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,理解并接受自己对某人的暗恋情绪，减轻慌张和焦虑,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,接纳自己的暗恋情绪，不因此感到羞愧或不安,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,逐步克服暗恋中的被动状态，设定情感表达的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,增强自信，认为自己值得被爱，并有勇气向心仪的对象表达自己的感受,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,暗恋,用户因单向情感投入引发焦虑或被动状态，常表现为情感表达困难,制定寻找和维持健康关系的具体计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,缓解因争吵引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,接纳关系中存在分歧的常态性,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,设定冲突解决的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,增强对关系修复的信心,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,制定改善互动的具体计划（如每日倾听10分钟）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,通过实际行动增进理解（如写感恩日记）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,伴侣互动,用户因关系冲突或日常分歧产生情绪波动，常表现为争吵或冷战,达成关系改善的里程碑（如成功化解一次矛盾）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,减轻被情感操控后的痛苦情绪,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,接受自己曾经被操控的事实，减少自我责备,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,设定恢复自尊心的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,改变对自己价值的认知，更加自信,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,制定重建自我价值的具体计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,采取实际行动恢复自信和自尊,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,被PUA,用户因情感操控经历陷入自我价值怀疑，常表现为自尊心受损,实现自我价值恢复的目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,缓解因情感忽视引发的孤独感,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,接纳自身对情感联结的合理需求,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,设定情感沟通的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,修正“我不需要爱”的负面认知，强化“我可以积极面对感情”等积极思想,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,制定表达情感需求的具体方式,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,通过主动沟通增进情感联结,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,情感需求,用户因情感忽视或沟通障碍感到孤独，常表现为情感需求未被满足,完成情感互动的关键行动（如定期约会）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,提醒自己在爱中受伤能够愈合，自己过去的经历是有意义的，鼓励自己发现关系中的爱，提醒自己保持冷静和理性，减轻分手后的痛苦情绪,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,允许自己为过去的关系悲伤，提醒自己想念对方也是正常的，提醒自己值得拥有美好的亲密关系,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,设定走出失恋阴影的渐进式目标，给自己及时的鼓励,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,肯定自己在恋情中也有做得好的地方，肯定过去关系中的美好，感恩相遇，避免自我否定,认知重构-增强自信,2,"[简单-心念锚定式,逻辑-心念锚定式,简单-主体自信式,逻辑-主体自信式,简单-潜能确认式，简单-主权宣告式，权力意志-对抗超升式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,设定情感恢复的短期目标（如减少回忆频率）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,通过实际行动逐步恢复情感活力,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
人际关系,亲密关系,失恋,用户因情感断裂陷入自我否定或痛苦回忆，常表现为情绪低落或自我怀疑,完成情感独立的关键行动,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,缓解因创伤引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,接纳创伤的存在，减少自我责备,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,设定创伤疗愈的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,增强对疗愈过程的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,制定具体的疗愈计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,通过小行动逐步修复创伤（如写疗愈日记）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
健康疗愈,心理健康,创伤疗愈,用户因过往创伤经历影响当前情绪稳定性，常表现为情绪波动或回避行为,完成创伤疗愈的阶段性目标（如连续一个月情绪稳定）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,缓解因焦虑引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,接纳焦虑情绪的存在，减少抗拒,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,设定缓解焦虑的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,增强对焦虑管理能力的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,制定具体的焦虑缓解计划（如每日冥想）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,通过小行动逐步缓解焦虑（如深呼吸练习）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
健康疗愈,心理健康,焦虑压力,用户因长期焦虑或突发压力事件陷入情绪波动，常表现为情绪失控或注意力分散,完成焦虑管理的阶段性目标（如连续一周情绪平稳）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,缓解因负面情绪引发的压力,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,接纳生活中的不完美，减少抱怨,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,设定感恩练习的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,增强对感恩练习的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,制定具体的感恩计划,认知重构-目标具象化,2,"[简单-心念培育式,简单-感恩整合式,逻辑-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,通过小行动逐步培养感恩心态（如表达感谢）,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
健康疗愈,心理健康,学会感恩,用户因负面思维模式忽视生活中的积极面，常表现为情绪低落或抱怨,完成感恩练习的阶段性目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-感恩整合式，简单-爱之循环式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,减少因自我否定引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,接纳自身的不完美，停止自我批判,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,设定自我接纳的阶段性目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,修正“必须完美”的负面思维,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,将自我接纳转化为具体行动计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,通过日常练习强化自我接纳,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
健康疗愈,心理健康,自我接纳,用户因过度追求完美导致自我批判，常表现为自我否定或情绪内耗,完成自我疗愈的阶段性里程碑,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,缓解因作息不规律引发的疲劳感,情感安抚-情绪调节,1,[简单-情绪应对式],,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,接纳偶尔熬夜的行为，减少自责,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-感恩整合式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,设定逐步调整作息的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,增强对作息调整的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,制定具体的作息改善计划,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,通过小行动逐步调整作息,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
健康疗愈,身体健康,作息,用户因作息紊乱导致身心疲劳，常表现为精力不足或情绪波动,完成作息调整的阶段性目标,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式，简单-爱之循环式]",,,,,,,,,,,
个人成长,自我探索,三观建立,用户因价值观模糊或外部冲击陷入迷茫，常表现为生活方向感缺失,通过日常行为实践价值观,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,自我探索,三观建立,用户因价值观模糊或外部冲击陷入迷茫，常表现为生活方向感缺失,在行动中验证并巩固价值观,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,自我探索,三观建立,用户因价值观模糊或外部冲击陷入迷茫，常表现为生活方向感缺失,设定三观培养的渐进式目标，缓解因价值观模糊引发的焦虑,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,自我探索,三观建立,用户因价值观模糊或外部冲击陷入迷茫，常表现为生活方向感缺失,建立对自我价值观的坚定信念,认知重构-增强自信,2,[简单-主体自信式，简单-主体意义式，简单-独特价值宣言式],,,,,,,,,,,
个人成长,自我探索,三观建立,用户因价值观模糊或外部冲击陷入迷茫，常表现为生活方向感缺失,将抽象价值观转化为具体生活准则,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,自我探索,兴趣培养,用户因兴趣探索动力不足或自我怀疑阻碍行动，常表现为兴趣发展停滞,设定兴趣培养的渐进式目标，缓解因兴趣培养引发的压力,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,自我探索,兴趣培养,用户因兴趣探索动力不足或自我怀疑阻碍行动，常表现为兴趣发展停滞,克服自我怀疑，相信自己的学习能力,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,自我探索,兴趣培养,用户因兴趣探索动力不足或自我怀疑阻碍行动，常表现为兴趣发展停滞,明确兴趣发展的阶段性目标,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,自我探索,兴趣培养,用户因兴趣探索动力不足或自我怀疑阻碍行动，常表现为兴趣发展停滞,启动兴趣学习的行动，减少拖延,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,自我探索,兴趣培养,用户因兴趣探索动力不足或自我怀疑阻碍行动，常表现为兴趣发展停滞,完成兴趣学习的短期任务,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,缓解求职过程中的焦虑,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,设定求职的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,增强对求职能力的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,制定具体的求职计划（如每日投递简历）,认知重构-目标具象化,2,"[简单-心念培育式,逻辑-心念培育式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,通过小行动逐步接近求职目标,行为驱动-提升行动力,2,"[简单-心念锚定式,逻辑-心念锚定式]",,,,,,,,,,,
个人成长,职业发展,求职,用户因求职压力或目标模糊产生焦虑，常表现为投递简历动力不足,完成求职的阶段性成果（如获得面试机会）,行为驱动-目标达成,2,"[简单-行动宣告式,简单-自然改变式]",,,,,,,,,,,
个人成长,职业发展,失业,用户因失业产生情绪波动或自我怀疑，常表现为求职动力不足,缓解因失业引发的情绪波动,情感安抚-情绪调节,1,"[简单-情绪应对式,简单-环境接纳式,简单-外源锚定式,简单-经历意义式]",,,,,,,,,,,
个人成长,职业发展,失业,用户因失业产生情绪波动或自我怀疑，常表现为求职动力不足,接纳失业的现实，减少自我责备,情感安抚-接纳自我,1,"[简单-自我接纳式,简单-环境接纳式,简单-经历意义式]",,,,,,,,,,,
个人成长,职业发展,失业,用户因失业产生情绪波动或自我怀疑，常表现为求职动力不足,设定失业后的渐进式目标,情感安抚-目标平和化,1,"[简单-心态稳定式,简单-积极感知式,简单-心念培育式]",,,,,,,,,,,
个人成长,职业发展,失业,用户因失业产生情绪波动或自我怀疑，常表现为求职动力不足,增强对重新就业的信心,认知重构-增强自信,2,"[简单-主体自信式,逻辑-主体自信式,简单-潜能确认式]",,,,,,,,,,,
